                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8905,                  3.057,                 3.3456,                      0,                      0,                      0,                      0,                 5.4287,                 3.1079,                 3.0478,                      0,                      0,                      0
                      2,                 3.6438,                 3.0412,                 3.1151,                      0,                      0,                      0,                      0,                 5.3716,                 3.1025,                 3.0416,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 3.3611,                 3.2403,                 2.4895,                      0,                      0,                      0,                      0,                 5.2743,                 3.0875,                 2.9071,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 3.7246,                 3.1742,                 3.0832,                      0,                      0,                      0,                      0,                 5.1714,                 3.0668,                 2.7563,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 3.3491,                 3.0162,                 2.8218,                      0,                      0,                      0,                      0,                 5.0398,                 3.0521,                 2.5745,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 3.0836,                 2.8649,                 2.6312,                0.00333,                 0.0625,                0.00182,                0.00018,                 4.9115,                 3.0316,                 2.4156,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                  2.977,                 2.8047,                 2.4091,                0.00333,                 0.0625,                0.00182,                0.00018,                 4.8538,                 3.0136,                 2.2805,             0.00011287,             0.00011287,             0.00011287
                      8,                 2.7314,                 3.0484,                 2.2693,                0.00333,                 0.0625,                0.00182,                0.00018,                 4.7768,                 2.9815,                 2.0984,              0.0001303,              0.0001303,              0.0001303
                      9,                 2.3656,                 2.8985,                 2.0621,                0.00667,                  0.125,                0.00377,                0.00055,                 4.7116,                 2.8666,                 1.9734,             0.00014733,             0.00014733,             0.00014733
                     10,                 2.4185,                 2.7926,                 2.0117,                   0.01,                 0.1875,                0.00608,                0.00061,                 4.6986,                 2.7722,                      2,             0.00016396,             0.00016396,             0.00016396
                     11,                 2.2443,                 2.4046,                 1.8532,                   0.01,                 0.1875,                0.00623,                0.00062,                 4.7424,                 2.5898,                 2.1841,              0.0001802,              0.0001802,              0.0001802
                     12,                 2.5859,                 2.6668,                  1.998,                0.00333,                 0.0625,                0.00185,                0.00018,                 5.0326,                 2.7983,                 2.5212,             0.00019604,             0.00019604,             0.00019604
                     13,                 2.0915,                 2.1273,                 1.6904,                0.00333,                 0.0625,                0.00185,                0.00018,                 5.2622,                 2.9336,                 2.9455,             0.00021149,             0.00021149,             0.00021149
                     14,                 1.7788,                 2.7213,                 1.6721,                0.00333,                 0.0625,                0.00185,                0.00018,                   5.31,                 2.9388,                 3.1124,             0.00022654,             0.00022654,             0.00022654
                     15,                 1.8646,                  2.048,                 1.6542,                0.00333,                 0.0625,                0.00185,                0.00018,                 5.3589,                  2.961,                 3.2643,             0.00024119,             0.00024119,             0.00024119
                     16,                  1.861,                 2.2197,                 1.7175,                0.00333,                 0.0625,                0.00185,                0.00018,                 5.2815,                 2.9982,                 3.3232,             0.00025545,             0.00025545,             0.00025545
                     17,                  1.834,                 1.9586,                 1.6556,                0.00333,                 0.0625,                0.00185,                0.00018,                 5.2258,                 3.1253,                 3.3546,             0.00026931,             0.00026931,             0.00026931
                     18,                 1.8118,                 2.2989,                   1.74,                0.00333,                 0.0625,                0.00185,                0.00018,                 5.2258,                 3.1253,                 3.3546,             0.00028278,             0.00028278,             0.00028278
                     19,                 2.1312,                 2.1603,                 1.6621,                0.00333,                 0.0625,                0.00185,                0.00018,                 5.2693,                 3.5262,                 3.5965,             0.00029585,             0.00029585,             0.00029585
                     20,                 1.8291,                 1.7757,                 1.7287,                0.00333,                 0.0625,                0.00185,                0.00018,                 5.2693,                 3.5262,                 3.5965,             0.00030852,             0.00030852,             0.00030852
